,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,day,Day_Perc_Change,Trend
0,M&amp;M,EQ,2017-05-15,1367.85,1373.0,1386.65,1370.0,1374.8,1375.65,1378.31,558190,769357918.2,38442,386664,69.27,2017,5,15,0.0,Slight or No change
1,M&amp;M,EQ,2017-05-16,1375.65,1377.0,1380.5,1363.1,1364.15,1366.35,1371.22,516012,707563397.0,29075,334469,64.82,2017,5,16,-0.6760440519027466,Slight negative
2,M&amp;M,EQ,2017-05-17,1366.35,1363.0,1384.35,1360.4,1379.0,1378.8,1378.56,920884,1269496570.0,32299,689649,74.89,2017,5,17,0.9111867383906125,Slight positive
3,M&amp;M,EQ,2017-05-18,1378.8,1369.0,1372.0,1347.5,1347.5,1352.85,1361.7,1217846,1658344015.0,20476,1043736,85.7,2017,5,18,-1.8820713664055688,Negative
4,M&amp;M,EQ,2017-05-19,1352.85,1350.0,1357.6,1328.5,1338.2,1333.4,1344.8,976742,1313521664.0,36297,773590,79.2,2017,5,19,-1.4377055845067654,Negative
5,M&amp;M,EQ,2017-05-22,1333.4,1340.15,1341.95,1301.1,1307.0,1306.25,1313.89,436797,573901073.9,26521,261661,59.9,2017,5,22,-2.0361481925903813,Negative
6,M&amp;M,EQ,2017-05-23,1306.25,1315.0,1338.35,1300.0,1328.35,1331.75,1324.9,780182,1033663449.0,40561,445992,57.17,2017,5,23,1.9521531100478384,Positive
7,M&amp;M,EQ,2017-05-24,1331.75,1331.5,1338.8,1301.45,1308.0,1308.65,1314.05,625683,822180435.0,29997,382266,61.1,2017,5,24,-1.7345597897503229,Negative
8,M&amp;M,EQ,2017-05-25,1308.65,1311.0,1335.9,1304.0,1335.9,1327.5,1321.97,1456698,1925707945.0,60911,1095811,75.23,2017,5,25,1.4404156955641234,Positive
9,M&amp;M,EQ,2017-05-26,1327.5,1334.0,1348.9,1327.5,1341.0,1340.85,1339.17,335223,448919974.0,16125,156414,46.66,2017,5,26,1.0056497175141121,Positive
10,M&amp;M,EQ,2017-05-29,1340.85,1345.0,1375.75,1327.4,1362.9,1360.05,1353.03,1058764,1432543454.0,37535,603995,57.05,2017,5,29,1.4319275086698724,Positive
11,M&amp;M,EQ,2017-05-30,1360.05,1364.0,1379.0,1342.3,1367.65,1361.1,1362.54,2223885,3030140652.0,68059,815525,36.67,2017,5,30,0.07720304400573585,Slight or No change
12,M&amp;M,EQ,2017-05-31,1361.1,1392.5,1448.5,1392.0,1413.7,1416.95,1424.14,3941786,5613656174.0,146225,1848666,46.9,2017,5,31,4.103298802439204,Among top gainers
13,M&amp;M,EQ,2017-06-01,1416.95,1430.0,1441.0,1416.1,1426.65,1425.25,1429.3,1712339,2447442776.0,55540,1120694,65.45,2017,6,1,0.5857651999011892,Slight positive
14,M&amp;M,EQ,2017-06-02,1425.25,1430.0,1434.75,1409.0,1421.95,1418.5,1425.52,1442389,2056158309.0,57116,1022592,70.9,2017,6,2,-0.4736011226100678,Slight or No change
15,M&amp;M,EQ,2017-06-05,1418.5,1424.95,1432.5,1421.1,1423.0,1423.7,1427.16,1151951,1644020715.0,49138,966825,83.93,2017,6,5,0.36658442016215265,Slight or No change
